,date,symbol,type,time_enter,px_enter,time_exit,px_exit,pnl
1248,2018-07-27 00:00:00,i,short,2018-07-27 23:00:00,487.5,2018-07-30 13:45:00,486.5,-0.0
1249,2018-08-02 00:00:00,i,long,2018-08-02 14:15:00,474.5,2018-08-03 10:00:00,479.5,800.0
1250,2018-08-06 00:00:00,i,short,2018-08-06 15:00:00,502.5,2018-08-06 21:30:00,506.5,-500.0
1251,2018-08-06 00:00:00,i,long,2018-08-06 21:30:00,506.5,2018-08-06 23:30:00,506.0,-150.0
1252,2018-08-06 00:00:00,i,short,2018-08-06 23:30:00,506.0,2018-08-07 13:45:00,505.0,-0.0
1253,2018-08-08 00:00:00,i,long,2018-08-08 09:30:00,513.0,2018-08-08 13:45:00,514.0,0.0
1254,2018-08-08 00:00:00,i,short,2018-08-08 21:30:00,508.5,2018-08-09 10:45:00,511.5,-400.0
1255,2018-08-09 00:00:00,i,long,2018-08-09 15:00:00,514.0,2018-08-09 22:00:00,512.5,-250.0
1256,2018-08-09 00:00:00,i,short,2018-08-09 22:00:00,512.5,2018-08-10 10:45:00,515.5,-400.0
1257,2018-08-10 00:00:00,i,long,2018-08-10 10:45:00,515.5,2018-08-10 13:45:00,509.5,-700.0
1258,2018-08-10 00:00:00,i,short,2018-08-10 13:45:00,509.5,2018-08-10 23:30:00,507.0,150.0
1259,2018-08-13 00:00:00,i,long,2018-08-13 10:00:00,512.5,2018-08-13 13:45:00,514.0,50.0
1260,2018-08-14 00:00:00,i,short,2018-08-14 09:30:00,512.5,2018-08-14 13:45:00,510.5,100.0
1261,2018-08-15 00:00:00,i,long,2018-08-15 21:30:00,506.5,2018-08-15 22:30:00,497.0,-1050.0
1262,2018-08-15 00:00:00,i,short,2018-08-15 22:30:00,497.0,2018-08-15 23:30:00,484.0,2400.0
1263,2018-08-16 00:00:00,i,long,2018-08-16 13:45:00,495.5,2018-08-16 23:30:00,494.5,-400.0
1264,2018-08-20 00:00:00,i,short,2018-08-20 21:30:00,504.0,2018-08-21 10:45:00,493.0,1000.0
1265,2018-08-21 00:00:00,i,long,2018-08-21 23:30:00,496.0,2018-08-22 13:45:00,496.5,-100.0
1266,2018-08-22 00:00:00,i,short,2018-08-22 15:00:00,485.5,2018-08-23 09:30:00,489.5,-1000.0
